"V1","V2"
3,63.000999000999
4.90428343615158,67.9032844351526
8.5548741977466,71.999000999001
14.173320398526,74.172321397527
19.9353499187162,75.999000999001
24.6255877792009,78.999000999001
30.5162156703078,80.5152166693088
36.000999000999,83.0046506994089
39.9065729762419,87.9055739752429
46.2733245044627,88.2723255034637
51.4685031574297,89.4675041564307
56.9565750292102,91.9555760282112
61.6288256778482,94.999000999001
67.8113984292116,95.8103994282126
72.4235149611909,98.999000999001
77.7875421727725,101.786543171774
82.9827208257396,104.981721824741
88.6658014178991,106.999000999001
94.5446510069274,108.543652005928
99.7398296598945,111.738830658895
105.736514999353,112.999000999001
111.426752859838,112.999000999001
117.116990720323,114.999000999001
123.635655705554,114.999000999001
129.230441550491,117.229442549492
135.016131426523,118.999000999001
140.792371731679,120.79137273068
145.987550384646,123.986551383647
152.086845007978,124.999000999001
158.191296430836,123.999000999001
164.709961416067,123.999000999001
170.814412838924,122.999000999001
176.918864261782,121.999000999001
182.723593459904,120.275407539097
188.713553545125,118.999000999001
194.285523641091,116.71347735791
196.066488731685,110.932512267316
199.999000999001,106.042747197405
206.060291424691,106.999000999001
212.164742847549,105.999000999001
217.604562656434,108.603563655435
221.506848090588,113.505849089589
227.407029304257,114.999000999001
233.097267164741,114.999000999001
239.142636581183,113.856364417818
244.044922015336,109.954078983665
247.94720744949,105.051793549511
251.849492883643,100.149508115358
254.337564755424,94.6614362435771
255.999000999001,88.8309606834539
256.999000999001,82.7265092605961
256.999000999001,76.2078442753651
257.999000999001,70.1033928525072
257.999000999001,63.5847278672762
257.999000999001,57.0660628820453
254.5576426391,52.5586416400985
249.655357204946,48.6563562059449
243.408150062202,48.000999000999
237.507640586131,47.4933584148678
231.726675495537,47.2743235054617
226.238603623757,49.7623953772422
220.457638533163,51.5433604678361
214.542747197406,53.000999000999
208.438295774548,54.000999000999
202.748057914063,52.000999000999
197.886247178324,48.000999000999
195.845706299007,42.8467053000057
193.357634427226,37.3586334282253
188.162455774259,34.1634547752583
183.260170340106,30.2611693411047
177.263485000647,29.000999000999
171.112453721291,28.11345272229
164.640368592558,28.000999000999
158.378950664849,28.6220483361497
152.845679309215,31.000999000999
146.327014323984,31.000999000999
140.157375736627,31.8436232643718
134.118111478269,33.000999000999
128.009659117812,32.0106581188114
122.521587246032,34.479411754967
117.047397896814,37.000999000999
111.771373598703,40.000999000999
106.764478411877,42.2365205891219
100.97668431536,42.000999000999
95.4954414495027,40.5055575514963
89.5962085943906,42.000999000999
83.4917571715329,43.000999000999
78.2157328734212,46.000999000999
72.1112814505633,47.000999000999
66.0068300277054,48.000999000999
59.9309712494988,49.0700277515002
54.7357925965318,52.2652064044672
48.9548275059379,53.9558265069369
43.2458785857664,52.000999000999
37.1414271629086,53.000999000999
31.4511893024238,55.000999000999
25.3467378795659,56.000999000999
19.6565000190811,58.000999000999
14.3804757209695,59.000999000999
8.27602429811168,60.000999000999
